#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
2.93,0.0471286,2.59863,0,-0.0471286,-2.59863,0
2.94,0.033351,2.59884,0,-0.033351,-2.59884,0
2.95,0.0195723,2.59897,0,-0.0195723,-2.59897,0
2.96,0.00579315,2.59904,0,-0.00579315,-2.59904,0
2.97,-0.00798619,2.59902,0,0.00798619,-2.59902,0
2.98,-0.0217653,2.59894,0,0.0217653,-2.59894,0
2.99,-0.0355438,2.59878,0,0.0355438,-2.59878,0
3,-0.0493213,2.59855,0,0.0493213,-2.59855,0
3.01,-0.0630974,2.59825,0,0.0630974,-2.59825,0
3.02,-0.0768718,2.59787,0,0.0768718,-2.59787,0
3.03,-0.090644,2.59742,0,0.090644,-2.59742,0
3.04,-0.104414,2.5969,0,0.104414,-2.5969,0
3.05,-0.11818,2.59631,0,0.11818,-2.59631,0
3.06,-0.131944,2.59564,0,0.131944,-2.59564,0
3.07,-0.145703,2.5949,0,0.145703,-2.5949,0
3.08,-0.159459,2.59408,0,0.159459,-2.59408,0
3.09,-0.17321,2.5932,0,0.17321,-2.5932,0
3.1,-0.186956,2.59224,0,0.186956,-2.59224,0
3.11,-0.200697,2.5912,0,0.200697,-2.5912,0
3.12,-0.214433,2.5901,0,0.214433,-2.5901,0
3.13,-0.228162,2.58892,0,0.228162,-2.58892,0
3.14,-0.241885,2.58767,0,0.241885,-2.58767,0
3.15,-0.255601,2.58635,0,0.255601,-2.58635,0
3.16,-0.26931,2.58495,0,0.26931,-2.58495,0
3.17,-0.283011,2.58348,0,0.283011,-2.58348,0
3.18,-0.296704,2.58194,0,0.296704,-2.58194,0
3.19,-0.310389,2.58032,0,0.310389,-2.58032,0
3.2,-0.324066,2.57864,0,0.324066,-2.57864,0
3.21,-0.337733,2.57688,0,0.337733,-2.57688,0
3.22,-0.351391,2.57504,0,0.351391,-2.57504,0
3.23,-0.365038,2.57314,0,0.365038,-2.57314,0
3.24,-0.378676,2.57116,0,0.378676,-2.57116,0
3.25,-0.392303,2.56911,0,0.392303,-2.56911,0
3.26,-0.405919,2.56699,0,0.405919,-2.56699,0
3.27,-0.419523,2.5648,0,0.419523,-2.5648,0
3.28,-0.433116,2.56253,0,0.433116,-2.56253,0
3.29,-0.446696,2.5602,0,0.446696,-2.5602,0
3.3,-0.460264,2.55779,0,0.460264,-2.55779,0
3.31,-0.473819,2.55531,0,0.473819,-2.55531,0
3.32,-0.487361,2.55275,0,0.487361,-2.55275,0
3.33,-0.500889,2.55013,0,0.500889,-2.55013,0
3.34,-0.514403,2.54743,0,0.514403,-2.54743,0
3.35,-0.527902,2.54466,0,0.527902,-2.54466,0
3.36,-0.541387,2.54182,0,0.541387,-2.54182,0
3.37,-0.554856,2.53891,0,0.554856,-2.53891,0
3.38,-0.56831,2.53593,0,0.56831,-2.53593,0
3.39,-0.581748,2.53288,0,0.581748,-2.53288,0
3.4,-0.595169,2.52975,0,0.595169,-2.52975,0
3.41,-0.608574,2.52655,0,0.608574,-2.52655,0
3.42,-0.621962,2.52329,0,0.621962,-2.52329,0
3.43,-0.635332,2.51995,0,0.635332,-2.51995,0
3.44,-0.648684,2.51654,0,0.648684,-2.51654,0
3.45,-0.662018,2.51306,0,0.662018,-2.51306,0
3.46,-0.675334,2.50951,0,0.675334,-2.50951,0
3.47,-0.68863,2.50589,0,0.68863,-2.50589,0
3.48,-0.701907,2.5022,0,0.701907,-2.5022,0
3.49,-0.715164,2.49843,0,0.715164,-2.49843,0
3.5,-0.728402,2.4946,0,0.728402,-2.4946,0
