#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.010078, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.003377, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (0.376922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 10.046623, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (0.712922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.376624, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.989924, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.279642, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (1.513927, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 5.076661, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (5.192928, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.756663, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.531892, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039296, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.188616, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429879, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.068453, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139941, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0.44,-0.00992249,-0.00145726,0,0.265321,-0.272419,0,-0.141341,-0.709483,0,-0.93966,0.364655,0,0.142439,1.50956,0,5.05246,1.20198,0,9.48976,0.895978,0,19.1782,0.629034,0,30.0642,0.501551,0
0.45,-0.00991588,-0.00148968,0,0.326297,-0.192772,0,-0.0679621,-0.719518,0,-0.960829,0.305427,0,0.0916311,1.5136,0,5.04604,1.22878,0,9.48783,0.916279,0,19.1777,0.643324,0,30.064,0.512949,0
0.46,-0.00990913,-0.00152209,0,0.36434,-0.100077,0,0.00602962,-0.721969,0,-0.978235,0.244985,0,0.040709,1.51592,0,5.03947,1.25555,0,9.48585,0.936576,0,19.1773,0.657615,0,30.0638,0.524346,0
0.47,-0.00990224,-0.00155449,0,0.376893,-0.000670186,0,0.0798533,-0.716821,0,-0.99181,0.183567,0,-0.0102701,1.51653,0,5.03276,1.28229,0,9.48382,0.956869,0,19.1768,0.671905,0,30.0636,0.535744,0
0.48,-0.0098952,-0.00158686,0,0.36306,0.0986766,0,0.152731,-0.704134,0,-1.0015,0.121417,0,-0.0612485,1.51543,0,5.02591,1.30899,0,9.48176,0.977158,0,19.1762,0.686195,0,30.0634,0.547141,0
0.49,-0.00988802,-0.00161921,0,0.323665,0.191151,0,0.223897,-0.684051,0,-1.00726,0.0587804,0,-0.112169,1.51261,0,5.01892,1.33565,0,9.47965,0.997442,0,19.1757,0.700484,0,30.0632,0.558539,0
0.5,-0.0098807,-0.00165154,0,0.261241,0.270317,0,0.292605,-0.656791,0,-1.00908,-0.00409545,0,-0.162974,1.50809,0,5.01179,1.36227,0,9.4775,1.01772,0,19.1752,0.714773,0,30.063,0.569936,0
0.51,-0.00987322,-0.00168384,0,0.179917,0.330523,0,0.358134,-0.622648,0,-1.00694,-0.0669616,0,-0.213605,1.50185,0,5.00451,1.38886,0,9.4753,1.038,0,19.1746,0.729062,0,30.0628,0.581334,0
0.52,-0.00986561,-0.00171611,0,0.0852148,0.367313,0,0.4198,-0.581986,0,-1.00086,-0.129569,0,-0.264006,1.49392,0,4.9971,1.4154,0,9.47307,1.05827,0,19.1741,0.74335,0,30.0625,0.592731,0
0.53,-0.00985784,-0.00174836,0,-0.0162698,0.377777,0,0.476961,-0.535238,0,-0.990854,-0.191671,0,-0.31412,1.4843,0,4.98954,1.44191,0,9.47078,1.07853,0,19.1735,0.757638,0,30.0623,0.604128,0
0.54,-0.00984993,-0.00178058,0,-0.117291,0.360845,0,0.529019,-0.482899,0,-0.976968,-0.253022,0,-0.363889,1.473,0,4.98185,1.46838,0,9.46846,1.09879,0,19.173,0.771925,0,30.0621,0.615525,0
0.55,-0.00984187,-0.00181277,0,-0.210472,0.317451,0,0.575435,-0.425522,0,-0.959254,-0.313378,0,-0.413258,1.46003,0,4.97402,1.4948,0,9.46609,1.11905,0,19.1724,0.786212,0,30.0618,0.626922,0
