#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.004959, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.002627, 0.000000) AU/year

#Object 2 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (-5.195041, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.752226, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Jupiter_x,Jupiter_y,Jupiter_z
2.9,0.000163469,0.00495008,0,-0.171246,-5.18557,0
2.91,0.000137174,0.00495085,0,-0.1437,-5.18637,0
2.92,0.000110875,0.00495147,0,-0.11615,-5.18702,0
2.93,8.45729e-05,0.00495195,0,-0.0885962,-5.18753,0
2.94,5.82684e-05,0.0049523,0,-0.0610404,-5.18789,0
2.95,3.19623e-05,0.0049525,0,-0.0334829,-5.18811,0
2.96,5.65535e-06,0.00495257,0,-0.00592439,-5.18817,0
2.97,-2.06518e-05,0.00495249,0,0.0216343,-5.1881,0
2.98,-4.69584e-05,0.00495228,0,0.0491923,-5.18787,0
2.99,-7.32636e-05,0.00495192,0,0.076749,-5.1875,0
3,-9.95668e-05,0.00495143,0,0.104303,-5.18698,0
3.01,-0.000125867,0.0049508,0,0.131855,-5.18632,0
3.02,-0.000152164,0.00495002,0,0.159403,-5.18551,0
3.03,-0.000178457,0.00494911,0,0.186946,-5.18455,0
3.04,-0.000204744,0.00494806,0,0.214484,-5.18345,0
3.05,-0.000231026,0.00494687,0,0.242016,-5.1822,0
3.06,-0.000257301,0.00494553,0,0.269541,-5.18081,0
3.07,-0.000283569,0.00494406,0,0.297059,-5.17926,0
3.08,-0.000309829,0.00494245,0,0.324568,-5.17758,0
3.09,-0.00033608,0.0049407,0,0.352068,-5.17574,0
3.1,-0.000362322,0.00493881,0,0.379558,-5.17376,0
3.11,-0.000388553,0.00493678,0,0.407038,-5.17164,0
3.12,-0.000414774,0.00493461,0,0.434505,-5.16937,0
3.13,-0.000440982,0.00493231,0,0.461961,-5.16695,0
3.14,-0.000467179,0.00492986,0,0.489404,-5.16438,0
3.15,-0.000493362,0.00492727,0,0.516832,-5.16167,0
3.16,-0.000519531,0.00492455,0,0.544247,-5.15882,0
